ID;CD_UF;NM_UF;NM_UF_SIGLA;CD_MUN;NM_MUN;AR_MUN_2022
1;11;Rondônia;RO;1100015;Alta Floresta D'Oeste;7067,13
2;11;Rondônia;RO;1100023;Ariquemes;4426,57
3;11;Rondônia;RO;1100031;Cabixi;1314,35
4;11;Rondônia;RO;1100049;Cacoal;3793,00
5;11;Rondônia;RO;1100056;Cerejeiras;2783,30
6;11;Rondônia;RO;1100064;Colorado do Oeste;1451,06
7;11;Rondônia;RO;1100072;Corumbiara;3060,32
8;11;Rondônia;RO;1100080;Costa Marques;4987,18
9;11;Rondônia;RO;1100098;Espigão D'Oeste;4518,04
10;11;Rondônia;RO;1100106;Guajará-Mirim;24856,88
11;11;Rondônia;RO;1100114;Jaru;2944,13
12;11;Rondônia;RO;1100122;Ji-Paraná;6896,65
13;11;Rondônia;RO;1100130;Machadinho D'Oeste;8509,27
14;11;Rondônia;RO;1100148;Nova Brasilândia D'Oeste;1703,01
15;11;Rondônia;RO;1100155;Ouro Preto do Oeste;1969,85
16;11;Rondônia;RO;1100189;Pimenta Bueno;6241,02
17;11;Rondônia;RO;1100205;Porto Velho;34090,95
18;11;Rondônia;RO;1100254;Presidente Médici;1758,47
19;11;Rondônia;RO;1100262;Rio Crespo;1717,64
20;11;Rondônia;RO;1100288;Rolim de Moura;1457,81
21;11;Rondônia;RO;1100296;Santa Luzia D'Oeste;1197,80
22;11;Rondônia;RO;1100304;Vilhena;11699,15
23;11;Rondônia;RO;1100320;São Miguel do Guaporé;7460,12
24;11;Rondônia;RO;1100338;Nova Mamoré;10070,49
25;11;Rondônia;RO;1100346;Alvorada D'Oeste;3029,19
26;11;Rondônia;RO;1100379;Alto Alegre dos Parecis;3958,27
27;11;Rondônia;RO;1100403;Alto Paraíso;2651,82
28;11;Rondônia;RO;1100452;Buritis;3265,81
29;11;Rondônia;RO;1100502;Novo Horizonte do Oeste;843,45
30;11;Rondônia;RO;1100601;Cacaulândia;1961,78
31;11;Rondônia;RO;1100700;Campo Novo de Rondônia;3442,01
32;11;Rondônia;RO;1100809;Candeias do Jamari;6843,87
33;11;Rondônia;RO;1100908;Castanheiras;892,84
34;11;Rondônia;RO;1100924;Chupinguaia;5126,72
35;11;Rondônia;RO;1100940;Cujubim;3863,95
36;11;Rondônia;RO;1101005;Governador Jorge Teixeira;5067,38
